ID,final_classification,mean_period,mean_lower_error,mean_upper_error,mean_significance,mean_iou
720080,reliable,29.976019184652284,1.3033334829551642,0.9739201399841376,1.0,1.0
720513,reliable,101.6260162601626,3.1439760976817865,4.516721065418963,1.0,1.0
723693,reliable,31.847133757961785,0.7911575452268806,0.9804052671857733,1.0,1.0
724196,reliable,29.120559114735,0.8000228102679898,0.4456350609136272,1.0,1.0
725883,reliable,101.6260162601626,4.77323153553607,4.931261279497832,1.0,1.0
728373,reliable,29.97601918465228,0.5142239730477982,2.2905441173295387,1.0,1.0
731633,reliable,30.883261272390364,1.1376488302739285,2.2035000710787287,1.0,1.0
734776,reliable,19.99200319872051,0.7872501813884938,1.6120869960451358,1.0,1.0
735090,reliable,28.312570781426945,1.0724860027782448,2.429179197371969,1.0,1.0
737301,reliable,26.824034334763947,1.0604304022492137,2.0310648464052043,1.0,1.0
739461,reliable,28.312570781426945,0.8348494858033462,1.2710644426931663,1.0,1.0
743572,reliable,29.97601918465228,1.420052239360544,2.261197838104355,1.0,1.0
744272,reliable,30.883261272390364,0.2836352670637367,1.479080119723001,1.0,1.0
744692,reliable,31.847133757961785,0.20746047972249917,1.559802531333439,1.0,1.0
745309,reliable,14.56876456876457,0.4645293271892097,0.5303004135478933,1.0,1.0
747896,reliable,28.312570781426945,1.160333769777747,2.550105843574727,1.0,1.0
751728,reliable,27.548209366391184,0.3547876788736808,1.899326137410064,1.0,1.0
753212,reliable,27.548209366391184,1.1969276838135094,1.9982172841092696,1.0,1.0
755641,reliable,63.61323155216286,3.657599155947828,4.287639454917709,1.0,1.0
755723,reliable,26.824034334763947,1.0045252018407211,0.1346547517642378,1.0,1.0
759942,reliable,56.56108597285068,2.510664505480257,2.722956743527696,1.0,1.0
764718,reliable,21.691973969631235,0.1946258322505123,1.0044803626807663,1.0,1.0
764873,reliable,20.807324178110697,0.6841772651046618,1.1635361447611745,1.0,1.0
765323,reliable,14.1643059490085,0.3894734173918959,0.7871671355212904,1.0,1.0
771927,reliable,40.74979625101874,0.6379816230116262,2.7510067598823653,1.0,1.0
772902,reliable,31.847133757961785,0.5657476282710547,1.0751094198280526,1.0,1.0
777013,reliable,24.271844660194173,0.5539205060844523,1.7310894768526168,1.0,1.0
